name,url,category
"France Inter","https://stream.radiofrance.fr/franceinter/franceinter_hifi.m3u8","Radio France"
"FIP","https://direct.fipradio.fr/live/fip-midfi.mp3","Radio France"
"France Info","https://stream.radiofrance.fr/franceinfo/franceinfo_hifi.m3u8","Radio France"
"France Culture","https://stream.radiofrance.fr/franceculture/franceculture_hifi.m3u8","Radio France"
"France Bleu","https://stream.radiofrance.fr/francebleu/francebleu_hifi.m3u8","Radio France"
"France Musique","https://stream.radiofrance.fr/francemusique/francemusique_hifi.m3u8","Radio France"
"Mouv'","https://stream.radiofrance.fr/mouv/mouv_hifi.m3u8","Radio France"
"Oüi FM","https://ouifm.ice.infomaniak.ch/ouifm-high.mp3","OÜI FM"
"Oüi FM Acoustic","https://ouifmacoustic.ice.infomaniak.ch/ouifmacoustic.mp3","OÜI FM"
"Oüi FM Alternatif","https://ouifm2.ice.infomaniak.ch/ouifm2.mp3","OÜI FM"
"Oüi FM Blues'n'Rock","https://ouifmbluesnrock.ice.infomaniak.ch/ouifmbluesnrock-128.mp3","OÜI FM"
"Oüi FM Bring The Noise","https://ouifmbringthenoise.ice.infomaniak.ch/ouifmbringthenoise.mp3","OÜI FM"
"Oüi FM Christmas Rock","https://ouifmnoel.ice.infomaniak.ch/ouifmnoel-128.mp3","OÜI FM"
"Oüi FM Classic Rock","https://ouifm3.ice.infomaniak.ch/ouifm3.mp3","OÜI FM"
"Oüi FM Garage Rock","https://ouifmgaragerock.ice.infomaniak.ch/ouifmgaragerock-128.mp3","OÜI FM"
"Oüi FM Génération Woodstock","https://woodstock.ice.infomaniak.ch/ouifmwoodstock.mp3","OÜI FM"
"Oüi FM Girls Rock","https://girlsrock.ice.infomaniak.ch/ouifmgirlsrock.mp3","OÜI FM"
"Oüi FM Les Slows du Rock","https://slowrock.ice.infomaniak.ch/ouifmslowrock.mp3","OÜI FM"
"Oüi FM Reggae","https://ouifmrock60s.ice.infomaniak.ch/ouifmsixties.mp3","OÜI FM"
"Oüi FM Rock 60's","https://ouifmrock60s.ice.infomaniak.ch/ouifmsixties.mp3","OÜI FM"
"Oüi FM Rock 70's","https://seventies.ice.infomaniak.ch/ouifmseventies.mp3","OÜI FM"
"Oüi FM Rock 80's","https://eighties.ice.infomaniak.ch/ouifmeighties.mp3","OÜI FM"
"Oüi FM Rock 90's","https://ouifmrockninetiess.ice.infomaniak.ch/ouifmrockninetiess-128.mp3","OÜI FM"
"Oüi FM Rock 2000","https://ouifmrock2000.ice.infomaniak.ch/ouifmrock2000-128.mp3","OÜI FM"
"Oüi FM Rock Indé","https://ouifmrockinde.ice.infomaniak.ch/ouifmrockinde-128.mp3","OÜI FM"
"RMC","https://audio.bfmtv.com/rmcradio_128.mp3?aw_0_1st.playerId=RMC_audio_web&aggregator=RMC_audio_web","RMC"
